puesto_trabajo,nombre_empresa,pais,region_estado,salario_minimo,salario_maximo,moneda_salario,periodo_salario,tipo_contrato,categoria,plataforma_origen,tipo_fuente_datos,enlace_oferta
Ingeniero electrónico o mecatrónico,EMPLEA,Perú,"Lurigancho, Lima",3000.0,3000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-electronico-o-mecatronico-en-lurigancho-C0211986FF8AB43E61373E686DCF3405#lc=ListOffers-Score0-12
Ingeniero de Costos y Presupuesto Sanitario,Natural Gas Company S.A.C.,Perú,"San Borja, Lima",3000.0,3000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-costos-y-presupuesto-sanitario-ingenieria-en-san-borja-F2890D7468FAAAB261373E686DCF3405#lc=ListOffers-Score3-1
Ingeniero de Sistemas con Dominio del Software Arduino,,Perú,"San Miguel, Lima",500.0,500.0,PEN,Mensual,Presencial y remoto,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-sistemas-con-dominio-del-software-arduino-part-time-en-san-miguel-344910EBF363A68961373E686DCF3405#lc=ListOffers-Score0-6
"Ingeniero en Administración de Data Center y Redes, Titulado y colegiado",Consutic,Perú,"Jesus Maria, Lima",3200.0,3200.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-en-administracion-de-data-center-y-redes-titulado-y-colegiado-en-jesus-maria-C482A695FCE39C7C61373E686DCF3405#lc=ListOffers-Score3-11
Ingeniero,TRANSPORTES & SERVICIOS TECRIS E.I.R.L. - TRANSERVIS TECRIS E.I.R.L.,Perú,"Moquegua, Moquegua",2200.0,2200.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-ssoma-y-de-operaciones-en-moquegua-848DA6E0776D455A61373E686DCF3405#lc=ListOffers-Score3-9
Ingeniero de machine learning,Grupo Educa_d,Perú,"Santiago De Surco, Lima",5000.0,5000.0,PEN,Mensual,Presencial y remoto,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-machine-learning-en-santiago-de-surco-958C867FE4F4CA6961373E686DCF3405#lc=ListOffers-Score3-10
ingeniero mecatrónico,COMPAÑIA MINERA QUECHUA S.A.,Perú,"San Isidro, Lima",11000.0,11000.0,PEN,Mensual,Presencial y remoto,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-mecatronico-20x10-regimen-laboral-en-san-isidro-BB644823960D6C8E61373E686DCF3405#lc=ListOffers-Score3-15
Ingeniero civil,Haug S.A.,Perú,"Lurin, Lima",5000.0,5000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-civil-juliaca-cusco-en-lurin-5924A82D3DBE067761373E686DCF3405#lc=ListOffers-Score3-0
Ingeniero Industrial,CONTADORES Y AUDITORES AREQUIPA EIRL,Perú,"Arequipa, Arequipa",1200.0,1200.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-industrial-con-experiencia-en-arequipa-7F8A3999C31C716F61373E686DCF3405#lc=ListOffers-Score3-0
Ingeniero de Calidad,Bectek,Perú,"Chicama, La Libertad",3000.0,3000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-calidad-en-chicama-FDC1DD7941CC668461373E686DCF3405#lc=ListOffers-Score3-8
Ingeniero mecatrónico y/o Electrónico,Ceneris EIRL,Perú,"Arequipa, Arequipa",2500.0,2500.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-mecatronico-yo-electronico-telemetria-en-arequipa-61BC73363C94736B61373E686DCF3405#lc=ListOffers-Score0-3
Ingeniero electrónico o mecatrónico,EMPLEA,Perú,"Lurigancho, Lima",3000.0,3000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-electronico-o-mecatronico-en-lurigancho-C0211986FF8AB43E61373E686DCF3405#lc=ListOffers-Score3-1
Ingeniero DevOps,Crazy Llama,Perú,"Miraflores, Lima",3000.0,3000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-devops-presencial-en-miraflores-F1F70FCE3B202F7761373E686DCF3405#lc=ListOffers-Score3-5
Ingeniero de Sistemas con Dominio del Software Arduino,,Perú,"San Miguel, Lima",500.0,500.0,PEN,Mensual,Presencial y remoto,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-sistemas-con-dominio-del-software-arduino-part-time-en-san-miguel-344910EBF363A68961373E686DCF3405#lc=ListOffers-Score0-0
Ingeniero de machine learning,Grupo Educa_d,Perú,"Santiago De Surco, Lima",5000.0,5000.0,PEN,Mensual,Presencial y remoto,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-machine-learning-en-santiago-de-surco-958C867FE4F4CA6961373E686DCF3405#lc=ListOffers-Score3-11
Ingeniero y/o Técnico instrumentista,,Perú,"Chorrillos, Lima",2000.0,2000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-yo-tecnico-instrumentista-automatizacion-en-chorrillos-E501214677F57EAD61373E686DCF3405#lc=ListOffers-Score3-11
Ingeniero de Calidad,Bectek,Perú,"Chicama, La Libertad",3000.0,3000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-calidad-en-chicama-FDC1DD7941CC668461373E686DCF3405#lc=ListOffers-Score3-7
Ingeniero de Costos y Presupuestos Eléctricos,P.A. PERU S.A.C.,Perú,"Magdalena Del Mar, Lima",6000.0,6000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-costos-y-presupuestos-electricos-en-magdalena-del-mar-09B45C7AF485C92D61373E686DCF3405#lc=ListOffers-Score3-15
Ingeniero de Sistemas con Dominio del Software Arduino,,Perú,"San Miguel, Lima",500.0,500.0,PEN,Mensual,Presencial y remoto,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-sistemas-con-dominio-del-software-arduino-part-time-en-san-miguel-344910EBF363A68961373E686DCF3405#lc=ListOffers-Score3-2
Tecnico o Ingeniero Electronico,INNOVA LASER PERÚ,Perú,"Bellavista, Callao",1400.0,1400.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-o-ingeniero-electronico-estudios-completos-o-en-los-ultimos-ciclos-en-bellavista-BDC6D98D78E968C361373E686DCF3405#lc=ListOffers-Score0-9
Ingeniero de Servicios Pleno,Electro Industrial Solutions S.A.,Perú,"Los Olivos, Lima",2000.0,2000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-servicios-pleno-automatizacion-en-los-olivos-9A6DBFE6CCA6FEF661373E686DCF3405#lc=ListOffers-Score3-18
ingeniero mecatrónico,COMPAÑIA MINERA QUECHUA S.A.,Perú,"San Isidro, Lima",11000.0,11000.0,PEN,Mensual,Presencial y remoto,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-mecatronico-20x10-regimen-laboral-en-san-isidro-BB644823960D6C8E61373E686DCF3405#lc=ListOffers-Score3-3
Ingeniero de machine learning,Grupo Educa_d,Perú,"Santiago De Surco, Lima",5000.0,5000.0,PEN,Mensual,Presencial y remoto,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-machine-learning-en-santiago-de-surco-958C867FE4F4CA6961373E686DCF3405#lc=ListOffers-Score3-0
Ingeniero electricista,Bitel,Perú,"Lima, Lima",1200.0,1200.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-electricista-en-lima-BCB510C91F51031461373E686DCF3405#lc=ListOffers-Score3-8
"Ingeniero en Administración de Data Center y Redes, Titulado y colegiado",Consutic,Perú,"Jesus Maria, Lima",3200.0,3200.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-en-administracion-de-data-center-y-redes-titulado-y-colegiado-en-jesus-maria-C482A695FCE39C7C61373E686DCF3405#lc=ListOffers-Score4-2
Ingeniero DevOps,Crazy Llama,Perú,"Miraflores, Lima",3000.0,3000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-devops-presencial-en-miraflores-F1F70FCE3B202F7761373E686DCF3405#lc=ListOffers-Score3-11
ingeniero residente,CIMA CONSTRUCTORES SRL,Perú,"Tacna, Tacna",8000.0,8000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-residente-ingeniero-civil-colegiado-en-tacna-53A32422489A93EB61373E686DCF3405#lc=ListOffers-Score3-17
Tecnico o Ingeniero Electronico,INNOVA LASER PERÚ,Perú,"Bellavista, Callao",1400.0,1400.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-o-ingeniero-electronico-estudios-completos-o-en-los-ultimos-ciclos-en-bellavista-BDC6D98D78E968C361373E686DCF3405#lc=ListOffers-Score0-8
Ingeniero de Costos y Presupuesto Electrico,Natural Gas Company S.A.C.,Perú,"San Borja, Lima",3000.0,3000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-costos-y-presupuesto-electrico-ingenieria-en-san-borja-1E82DB73B4C6048461373E686DCF3405#lc=ListOffers-Score3-5
Ingeniero mecatrónico y/o Electrónico,Ceneris EIRL,Perú,"Arequipa, Arequipa",2500.0,2500.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-mecatronico-yo-electronico-telemetria-en-arequipa-61BC73363C94736B61373E686DCF3405#lc=ListOffers-Score0-1
Ingeniero de machine learning,Grupo Educa_d,Perú,"Santiago De Surco, Lima",5000.0,5000.0,PEN,Mensual,Presencial y remoto,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-machine-learning-en-santiago-de-surco-958C867FE4F4CA6961373E686DCF3405#lc=ListOffers-Score3-4
Ingeniero sistemas,ART M&R S.A.C.,Perú,"San Juan De Miraflores, Lima",2000.0,2000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-sistemas-con-experiencia-minima-de-1-ano-en-san-juan-de-miraflores-E12DE250BE3D796261373E686DCF3405#lc=ListOffers-Score3-1
Ingeniero civil,Reclutapro Pandapé,Perú,"San Isidro, Lima",500.0,500.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-civil-en-san-isidro-367D84DF19A86CB661373E686DCF3405#lc=ListOffers-Score3-18
Ingeniero sistemas,ART M&R S.A.C.,Perú,"San Juan De Miraflores, Lima",2000.0,2000.0,PEN,Mensual,,Ingeniero Datos Gcp,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-sistemas-con-experiencia-minima-de-1-ano-en-san-juan-de-miraflores-E12DE250BE3D796261373E686DCF3405#lc=ListOffers-Score3-19
Asesor Educativo / Ventas / Comisiones ilimitadas/ VES,Grupo Educa_d,Perú,"Villa El Salvador, Lima",1200.0,1200.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-educativo-ventas-comisiones-ilimitadas-ves-villa-el-salvador-en-villa-el-salvador-C85F491BD5B555C361373E686DCF3405#lc=ListOffers-Score3-3
Movistar Real Plaza Huancayo ¡Comisiones ilimitadas! Asesor/a de Atención al Cliente y Ventas,Aadaru,Perú,"Huancayo, Junin",1130.0,1130.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-movistar-real-plaza-huancayo-comisiones-ilimitadas-asesora-de-atencion-al-cliente-y-ventas-en-huancayo-2BF7F3F1FD822E4861373E686DCF3405#lc=ListOffers-Score3-12
Asesor Educativo / Ventas / Comisiones ilimitadas/ San Isidro,Grupo Educa_d,Perú,"San Isidro, Lima",1500.0,1500.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-educativo-ventas-comisiones-ilimitadas-san-isidro-aramburu-en-san-isidro-ED433B24E9FECF2B61373E686DCF3405#lc=ListOffers-Score0-16
Asesor de Ventas / SJL / Comisiones ilimitadas,Grupo Educa_d,Perú,"San Juan De Lurigancho, Lima",1200.0,1200.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-ventas-sjl-comisiones-ilimitadas-turno-tarde-sise-en-san-juan-de-lurigancho-C4F434D4CCE4DE9661373E686DCF3405#lc=ListOffers-Score3-9
LIMA SUR / Ventas en Campo / Internet Hogar / Sueldo Fijo de S/1530 + Comisiones Ilimitadas,Digital Max,Perú,"Villa Maria Del Triunfo, Lima",1530.0,1530.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-lima-sur-ventas-en-campo-internet-hogar-sueldo-fijo-de-s1530-comisiones-ilimitadas-con-o-sin-experiencia-planilla-desde-el-1er-dia-en-villa-maria-del-triunfo-0699BDD2BAC4FCB461373E686DCF3405#lc=ListOffers-Score0-2
Asesor Educativo / Ventas / Comisiones ilimitadas/ VES,Grupo Educa_d,Perú,"Villa El Salvador, Lima",1200.0,1200.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-educativo-ventas-comisiones-ilimitadas-ves-villa-el-salvador-en-villa-el-salvador-7B0439BF3C836D4261373E686DCF3405#lc=ListOffers-Score3-8
Asesor Educativo / Lima norte / Comisiones Ilimitadas,Grupo Educa_d,Perú,"Los Olivos, Lima",1500.0,1500.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-educativo-lima-norte-comisiones-ilimitadas-universidad-cientifica-del-sur-en-los-olivos-AF8BD6799C8F7E2961373E686DCF3405#lc=ListOffers-Score3-8
Asesor educativo/Ventas/Comisiones ilimitadas,Grupo Educa_d,Perú,"Villa El Salvador, Lima",1200.0,1200.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-educativoventascomisiones-ilimitadas-institutos-sise-en-villa-el-salvador-8081E1ECFF3BAC7A61373E686DCF3405#lc=ListOffers-Score3-18
LIMA SUR / Ventas en Campo / Internet Hogar / Sueldo Fijo de S/1530 + Comisiones Ilimitadas,Digital Max,Perú,"Villa Maria Del Triunfo, Lima",1530.0,1530.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-lima-sur-ventas-en-campo-internet-hogar-sueldo-fijo-de-s1530-comisiones-ilimitadas-con-o-sin-experiencia-planilla-desde-el-1er-dia-en-villa-maria-del-triunfo-0699BDD2BAC4FCB461373E686DCF3405#lc=ListOffers-Score0-14
Asesor Educativo / Ventas / Comisiones ilimitadas/ VES,Grupo Educa_d,Perú,"Villa El Salvador, Lima",1500.0,1500.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-educativo-ventas-comisiones-ilimitadas-ves-villa-el-salvador-en-villa-el-salvador-088BCFE03F8F088B61373E686DCF3405#lc=ListOffers-Score0-4
Asesor(a) de ventas campo/Huancayo/S./1530 + Comisiones ilimitadas.,Gedk Telecomunicaciones,Perú,"Huancayo, Junin",1530.0,1530.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesora-de-ventas-campohuancayos1530-comisiones-ilimitadas-en-huancayo-6FF027744224FDCF61373E686DCF3405#lc=ListOffers-Score3-3
Asesores de ventas Movistar / Barranca/ salario fijo + comisiones ilimitadas,Gedk Telecomunicaciones,Perú,"Barranca, Lima",1600.0,1600.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesores-de-ventas-movistar-barranca-salario-fijo-comisiones-ilimitadas-bonos-incentivos-vales-de-consuma-y-mas-en-barranca-04DC9386F0A7EF5161373E686DCF3405#lc=ListOffers-Score3-7
Gana comisiones ilimitadas! Promotor Comercial / Tienda Retail / Internet hogar / Miraflores,Grupo Tawa,Perú,"San Juan De Miraflores, Lima",1800.0,1800.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-gana-comisiones-ilimitadas-promotor-comercial-tienda-retail-internet-hogar-miraflores-en-san-juan-de-miraflores-1D3302B36304C8E061373E686DCF3405#lc=ListOffers-Score0-0
Asesor  Comercial TOP de ventas telefónicas / Comisiones Ilimitadas,BSG Institute,Perú,"Arequipa, Arequipa",3000.0,3000.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-comercial-top-de-ventas-telefonicas-comisiones-ilimitadas-arequipa-en-arequipa-270AECEAA4ED014861373E686DCF3405#lc=ListOffers-Score3-1
Asesor de Ventas / Comisiones ilimitadas,Grupo Educa_d,Perú,"Lince, Lima",1200.0,1200.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-ventas-comisiones-ilimitadas-institutos-sise-landing-en-lince-A625EF53DD84314061373E686DCF3405#lc=ListOffers-Score3-2
¡Trabaja de Lunes a Viernes! Asesor Comercial Fija / Presencial + Comisiones Ilimitadas,POINT CONNECTIONS SAC,Perú,"Surquillo, Lima",1300.0,1300.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabaja-de-lunes-a-viernes-asesor-comercial-fija-presencial-comisiones-ilimitadas-en-surquillo-5670C85E6EB16D1361373E686DCF3405#lc=ListOffers-Score3-10
Asesor de Ventas / Comisiones ilimitadas,Grupo Educa_d,Perú,"Lince, Lima",1200.0,1200.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-ventas-comisiones-ilimitadas-institutos-sise-en-lince-AA1FED9CDD8D5F7361373E686DCF3405#lc=ListOffers-Score3-2
Asesor(a) de ventas campo/Huancayo/S./1530 + Comisiones ilimitadas.,Gedk Telecomunicaciones,Perú,"Huancayo, Junin",1530.0,1530.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesora-de-ventas-campohuancayos1530-comisiones-ilimitadas-en-huancayo-AEC9206AB92E404B61373E686DCF3405#lc=ListOffers-Score3-10
Gana comisiones ilimitadas! Promotor Comercial / Tienda Retail / Internet hogar / Miraflores,Grupo Tawa,Perú,"San Juan De Miraflores, Lima",1800.0,1800.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-gana-comisiones-ilimitadas-promotor-comercial-tienda-retail-internet-hogar-miraflores-en-san-juan-de-miraflores-1D3302B36304C8E061373E686DCF3405#lc=ListOffers-Score0-18
Movistar Mall Comas  ¡Comisiones ilimitadas! Asesor/a de Atención al Cliente y Ventas,Aadaru,Perú,"Comas, Lima",1130.0,1130.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-movistar-mall-comas-comisiones-ilimitadas-asesora-de-atencion-al-cliente-y-ventas-en-comas-2ED1D6DF5975250261373E686DCF3405#lc=ListOffers-Score3-13
Movistar Megaplaza ¡Comisiones ilimitadas! Asesor/a de Atención al Cliente y Ventas,Aadaru,Perú,"Independencia, Lima",1130.0,1130.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-movistar-megaplaza-comisiones-ilimitadas-asesora-de-atencion-al-cliente-y-ventas-en-independencia-8B633F2D87A9054261373E686DCF3405#lc=ListOffers-Score3-12
Ejecutivos de ventas / Movistar empresas / horario de oficina / S/. 1500 + comisiones ilimitadas,SAFE LOGISTICA E.I.R.L,Perú,"San Isidro, Lima",1500.0,1500.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivos-de-ventas-movistar-empresas-horario-de-oficina-s-1500-comisiones-ilimitadas-salario-fijo-ingreso-directo-en-san-isidro-45A4BD7A2E1CA69061373E686DCF3405#lc=ListOffers-Score3-11
Asesor de Ventas / Comisiones ilimitadas,Grupo Educa_d,Perú,"Ate, Lima",1200.0,1200.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-ventas-comisiones-ilimitadas-turno-tarde-institutos-sise-en-ate-5A88CD35B8859F2F61373E686DCF3405#lc=ListOffers-Score3-1
Asesor de Ventas / Comisiones,T&G INFORMATICA SOCIEDAD ANONIMA CERRADA,Perú,"Miraflores, Lima",1130.0,1130.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-ventas-comisiones-en-miraflores-73CCBFD9ED69E05861373E686DCF3405#lc=ListOffers-Score3-19
Asesor Educativo / Ventas / Comisiones ilimitadas/ San Isidro,Grupo Educa_d,Perú,"San Isidro, Lima",1500.0,1500.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-educativo-ventas-comisiones-ilimitadas-san-isidro-aramburu-en-san-isidro-C527855A8CA319B361373E686DCF3405#lc=ListOffers-Score0-15
Asesor Educativo / Ventas / Comisiones ilimitadas/ VES,Grupo Educa_d,Perú,"Villa El Salvador, Lima",1500.0,1500.0,PEN,Mensual,,Asesor Educativo Ventas,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-educativo-ventas-comisiones-ilimitadas-ves-villa-el-salvador-en-villa-el-salvador-71F648D589AEE4F861373E686DCF3405#lc=ListOffers-Score0-14
Atención al cliente/Ventas,GUARD MAN,Perú,"Chorrillos, Lima",1130.0,1130.0,PEN,Mensual,,Recepcionista Atención Clientes,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-atencion-al-clienteventas-en-chorrillos-A9A3949EC0DE08B161373E686DCF3405#lc=ListOffers-Score3-4
Atencion al Cliente Recepcion,Súmate al Éxito,Perú,"Miraflores, Lima",1100.0,1100.0,PEN,Mensual,,Recepcionista Atención Clientes,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-atencion-al-cliente-recepcion-turno-tarde-en-miraflores-94DA2E2FCEE356F461373E686DCF3405#lc=ListOffers-Score3-11
Asesor Servicio al Cliente/Ingles Intermedio,Adecco Perú S.A.,Perú,"Callao, Callao",2000.0,2000.0,PEN,Mensual,,Recepcionista Atención Clientes,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-servicio-al-clienteingles-intermedio-en-callao-DE8BC0233BE7226961373E686DCF3405#lc=ListOffers-Score3-6
Asistente de Atención al Cliente,LAZARTE REY CHRISTIAN RODRIGO,Perú,"Santiago De Surco, Lima",500.0,500.0,PEN,Mensual,,Recepcionista Atención Clientes,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-atencion-al-cliente-turno-manana-y-noche-en-santiago-de-surco-EAB8166327263C5B61373E686DCF3405#lc=ListOffers-Score3-4
Asesora de Atención al Cliente,OSTEO PERU,Perú,"Lima, Lima",1500.0,1500.0,PEN,Mensual,,Recepcionista Atención Clientes,Computrabajo,Web Scraping,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesora-de-atencion-al-cliente-rubro-salud-en-lima-5F0516FF63EEF98661373E686DCF3405#lc=ListOffers-Score3-14
